user_id,fullname,phone_number,course_name
7637175761,Yy,0988888888,Data Science Fundamentals
7637175761,U,0967876786,Python Programming
6399508648,Di,0988888888,Web Development
6399508648,Check,0988888888,Python Programming
7637175761,H,0987687678,Python Programming
7637175761,Gg,0988888888,Python Programming
7637175761,7,0987787789,Capcut Video Editing 
7637175761,0966666666,0966666666,Web Development
7637175761,0966666666,0966666666,Web Development
7637175761,U,0988776655,Python Programming
6399508648,U,0988776677,Web Development
7637175761,Oo,0977777777,Data Science Fundamentals
